DAY,MAX_T,MIN_T,HUM,SMOKE
ap-13,35.6426426,20.93997854,34.56837906,58.44
ap-14,35.82319565,21.12061416,34.27606723,61.49
ap-15,36,21.3,34,65.39
ap-16,36.17305565,21.47813607,33.74017738,100.92
ap-17,36.34236259,21.65502236,33.49659937,97.48
ap-18,36.50792084,21.83065888,33.26926597,129.27
ap-19,36.66973038,22.00504562,33.05817718,129.58
ap-20,36.82779122,22.17818259,32.86333299,100.57
ap-21,36.98210336,22.35006979,32.68473341,130.34
ap-22,37.1326668,22.52070721,32.52237844,53.24
ap-23,37.27948154,22.69009485,32.37626807,42
ap-24,37.42254757,22.85823273,32.24640231,50.1
ap-25,37.56186491,23.02512082,32.13278116,83.69
ap-26,37.69743354,23.19075915,32.03540462,38.88
ap-27,37.82925348,23.3551477,31.95427269,46.89
ap-28,37.95732471,23.51828647,31.88938536,70.96
ap-29,38.08164724,23.68017547,31.84074264,53.66
ap-30,38.20222107,23.8408147,31.80834453,45.49
my-1,38.31877516,23.99931335,31.79098336,60.86
my-2,38.43103846,24.15478063,31.78745145,51.93
my-3,38.53901098,24.30721653,31.79774881,77.87
my-4,38.64269271,24.45662105,31.82187544,57.59
my-5,38.74208366,24.6029942,31.85983133,77.22
my-6,38.83718382,24.74633597,31.9116165,45.29
my-7,38.9279932,24.88664637,31.97723093,103.78
my-8,39.0145118,25.02392539,32.05667462,25.14
my-9,39.09673961,25.15817303,32.14994759,87.03
my-10,39.17467664,25.2893893,32.25704982,89.6
my-11,39.24832288,25.41757419,32.37798132,80.69
my-12,39.31767833,25.54272771,32.51274209,44.75
my-13,39.38274301,25.66484985,32.66133213,38.11
my-14,39.4435169,25.78394061,32.82375143,45.5
my-15,39.5,25.9,33,36.98
my-16,39.55219232,26.01302801,33.19007784,43.58
my-17,39.60009385,26.12302465,33.39398494,45.49
my-18,39.6437046,26.22998991,33.61172132,38.06
my-19,39.68302457,26.33392379,33.84328696,45.41
my-20,39.71805375,26.4348263,34.08868186,37.71
my-21,39.74879215,26.53269744,34.34790604,32.37
my-22,39.77523976,26.62753719,34.62095948,34.74
my-23,39.79739659,26.71934558,34.90784219,32.56
my-24,39.81526263,26.80812258,35.20855417,29.28
my-25,39.82883789,26.89386821,35.52309541,20.46
my-26,39.83812237,26.97658246,35.85146593,26.07
my-27,39.84311606,27.05626534,36.19366571,21.43
my-28,39.84381896,27.13291684,36.54969475,11.91
my-29,39.84023108,27.20653697,36.91955307,57.75
my-30,39.83235242,27.27712572,37.30324065,66.39
my-31,39.82005524,27.34458499,37.70146195,62.61
ju-1,39.80257318,27.40832615,38.11844368,47.5
