DAY,MAX_T,MIN_T,HUM,SMOKE
ap-7,35.63521656,21.56231422,69.1834865,10.30841014
ap-8,35.51303454,21.50728127,69.23578763,10.23395155
ap-9,35.36736107,21.44788936,69.33802106,10.16975219
ap-10,35.19819617,21.38413851,69.49018679,10.11581207
ap-11,35.00553982,21.3160287,69.69228483,10.07213118
ap-12,34.78939203,21.24355995,69.94431516,10.03870954
ap-13,34.54975279,21.16673225,70.24627781,10.01554712
ap-14,34.28662212,21.0855456,70.59817275,10.00264394
ap-15,34,21,71,10
ap-16,33.68988644,20.91009545,71.45175955,10.00761529
ap-17,33.35628144,20.81583195,71.95345141,10.02548982
ap-18,32.99918499,20.71720951,72.50507557,10.05362358
ap-19,32.61859711,20.61422811,73.10663203,10.09201658
ap-20,32.21451778,20.50688776,73.75812079,10.14066882
ap-21,31.78694701,20.39518847,74.45954186,10.19958029
ap-22,31.33588479,20.27913022,75.21089523,10.268751
ap-23,30.86133114,20.15871303,76.01218091,10.34818094
ap-24,30.36328604,20.03393689,76.86339888,10.43787011
ap-25,29.8417495,19.9048018,77.76454916,10.53781853
ap-26,29.29672152,19.77130776,78.71563175,10.64802617
ap-27,28.7282021,19.63345477,79.71664664,10.76849306
ap-28,28.13619123,19.49124283,80.76759383,10.89921918
ap-29,27.52068892,19.34467194,81.86847332,11.04020453
ap-30,26.88169517,19.1937421,83.01928512,11.19144912
my-1,26.27486413,19.05886789,84.11659216,11.34099194
my-2,25.75584995,18.96046388,85.05695738,11.47687199
my-3,25.32465263,18.89853007,85.84038079,11.59908926
my-4,24.98127217,18.87306646,86.46686238,11.70764375
my-5,24.72570858,18.88407305,86.93640216,11.80253547
my-6,24.55796185,18.93154984,87.24900011,11.88376441
my-7,24.47803197,19.01549683,87.40465626,11.95133058
my-8,24.48591896,19.13591403,87.40337058,12.00523397
my-9,24.58162281,19.29280142,87.24514309,12.04547459
my-10,24.76514352,19.48615901,86.92997378,12.07205243
my-11,25.0364811,19.71598681,86.45786266,12.08496749
my-12,25.39563553,19.98228481,85.82880972,12.08421978
my-13,25.84260682,20.285053,85.04281496,12.0698093
my-14,26.37739498,20.6242914,84.09987839,12.04173604
my-15,27,21,83,12
my-16,27.71042188,21.4121788,81.74317979,11.94460119
my-17,28.50866062,21.8608278,80.32941777,11.8755396
my-18,29.39471622,22.345947,78.75871393,11.79281524
my-19,30.36858869,22.8675364,77.03106828,11.6964281
my-20,31.43027801,23.425596,75.14648081,11.58637819
my-21,32.5797842,24.02012581,73.10495152,11.4626655
my-22,33.81710725,24.65112581,70.90648041,11.32529003
my-23,35.14224716,25.31859601,68.55106749,11.17425179
my-24,36.55520393,26.02253642,66.03871275,11.00955078
my-25,38.05597756,26.76294703,63.3694162,10.83118699
my-26,39.64456805,27.53982783,60.54317783,10.63916042
my-27,41.32097541,28.35317884,57.55999764,10.43347108
my-28,43.08519962,29.20300005,54.41987564,10.21411896
my-29,44.9372407,30.08929146,51.12281182,9.981104068
my-30,46.82090853,30.98736806,47.7795864,9.7344264
my-31,48.39906247,31.74911986,45.05488069,9.476240539
ju-1,49.61551242,32.34986184,43.05947491,9.21947398
ju-2,51.47025837,32.789594,41.79336906,8.966281305
ju-3,50.96330032,33.06831635,41.25656314,8.716662514
ju-4,50.09463827,33.18602888,41.44905715,8.470617607
ju-5,50.86427223,33.1427316,42.37085108,8.228146585
ju-6,59.27220219,32.9384245,44.02194495,7.989249447
ju-7,49.31842815,32.57310759,46.40233874,7.753926194
ju-8,48.00295012,32.04678086,49.51203246,7.522176824
ju-9,46.32576809,31.35944432,53.35102611,7.294001339
ju-10,44.28688206,30.51109796,57.91931969,7.069399739
ju-11,41.88629204,29.50174179,63.2169132,6.848372022
ju-12,39.12399802,28.3313758,69.24380664,6.63091819
ju-13,36,27,76,6.417038243
ju-14,32.51429798,25.50761438,83.48549329,6.206732179
ju-15,29,24,91,6
ju-16,25.79021407,22.62293791,97.8432336,5.796841705
ju-17,22.8849402,21.37642811,98.01519411,5.597257295
ju-18,20.28417839,20.26047059,99,5.401246768
ju-19,17.98792863,19.27506537,96,5.208810126
ju-20,15.99619093,18.42021243,98,5.019947369
ju-21,14.30896529,17.69591179,87,4.834658495
ju-22,12.9262517,17.10216343,89,4.652943506
ju-23,11.84805017,16.63896737,98,4.474802401
ju-24,11.0743607,16.30632359,97,4.300235181
ju-25,10.60518329,16.10423211,96,4.129241845
ju-26,10.44051793,16.03269291,95,3.961822393
ju-27,10.58036463,16.091706,100,3.797976825
ju-28,11.02472338,16.28127138,94,3.637705142
ju-29,11.7735942,16.60138905,90,3.481007343
ju-30,12.82697707,17.05205901,92,3.327883429
jy-1,14.01078681,17.560044,88,3.185178328
jy-2,15.15093823,18.05210677,100,3.059736971
jy-3,16.24743134,18.5282473,90,2.951559357
jy-4,17.30026613,18.98846561,92,2.860645488
jy-5,18.30944261,19.4327617,91,2.786995361
jy-6,19.27496077,19.86113555,91,2.730608979
jy-7,20.19682062,20.27358718,91,2.69148634
jy-8,21.07502215,20.67011657,100,2.669627445
jy-9,21.90956536,21.05072375,99,2.665032293
jy-10,22.70045025,21.41540869,98,2.677700885
jy-11,23.44767684,21.76417141,87,2.707633221
jy-12,24.1512451,22.0970119,96.92279487,2.7548293
jy-13,24.81115505,22.41393016,95.49796487,2.819289123
jy-14,25.42740668,22.71492619,94.19036658,2.90101269
jy-15,26,23,93,3
jy-16,26.528935,23.26915158,91.92686513,3.116251054
jy-17,27.01421169,23.52238093,90.97096197,3.249765851
jy-18,27.45583006,23.75968806,90.13229052,3.400544392
jy-19,27.85379011,23.98107295,89.41085078,3.568586677
jy-20,28.20809185,24.18653562,88.80664275,3.753892706
jy-21,28.51873527,24.37607606,88.31966643,3.956462478
jy-22,28.78572037,24.54969428,87.94992182,4.176295993
jy-23,29.00904716,24.70739027,87.69740892,4.413393253
jy-24,29.18871563,24.84916403,87.56212774,4.667754256
jy-25,29.32472579,24.97501556,87.54407826,4.939379002
jy-26,29.41707763,25.08494486,87.64326049,5.228267492
jy-27,29.46577116,25.17895194,87.85967443,5.534419726
jy-28,29.47080637,25.25703679,88.19332009,5.857835704
jy-29,29.43218326,25.31919941,88.64419745,6.198515425
jy-30,29.34990184,25.36543981,89.21230653,6.55645889
jy-31,29.23114642,25.39790172,89.87762071,6.926846719
au-1,29.11902293,25.4294476,90.51998039,7.280762637
au-2,29.02071569,25.4622212,91.11935897,7.613387264
au-3,28.93622469,25.49622251,91.67575644,7.924720602
au-4,28.86554994,25.53145154,92.18917281,8.214762648
au-5,28.80869144,25.56790828,92.65960807,8.483513405
au-6,28.76564918,25.60559273,93.08706223,8.730972871
au-7,28.73642317,25.6445049,93.47153529,8.957141047
au-8,28.72101341,25.68464479,93.81302724,9.162017932
au-9,28.7194199,25.72601239,94.11153809,9.345603527
au-10,28.73164263,25.7686077,94.36706784,9.507897832
au-11,28.75768161,25.81243073,94.57961648,9.648900846
au-12,28.79753684,25.85748148,94.74918401,9.76861257
au-13,28.85120831,25.90375994,94.87577045,9.867033004
au-14,28.91869603,25.95126611,94.95937578,9.944162147
au-15,29,26,95,10
au-16,29.09512022,26.0499616,94.99764312,10.03454656
au-17,29.20405668,26.10115092,94.95230514,10.04780183
au-18,29.32680939,26.15356795,94.86398605,10.03976582
au-19,29.46337835,26.2072127,94.73268586,10.01043851
au-20,29.61376355,26.26208516,94.55840456,9.959819909
au-21,29.777965,26.31818534,94.34114216,9.887910019
au-22,29.9559827,26.37551323,94.08089866,9.794708839
au-23,30.14781665,26.43406884,93.77767405,9.680216369
au-24,30.35346684,26.49385216,93.43146834,9.544432609
au-25,30.57293328,26.55486319,93.04228153,9.387357558
au-26,30.80621597,26.61710195,92.61011361,9.208991217
au-27,31.0533149,26.68056841,92.13496458,9.009333585
au-28,31.31423008,26.74526259,91.61683446,8.788384663
au-29,31.58896151,26.81118449,91.05572323,8.546144451
au-30,31.87750919,26.87833409,90.45163089,8.282612948
au-31,32.17636293,26.94554628,89.81294379,8.002815656
se-1,32.46446167,27.00583022,89.18998,7.736905582
se-2,32.73829523,27.05802078,88.59112586,7.489908226
se-3,32.99786361,27.10211795,88.01638137,7.261823589
se-4,33.24316681,27.13812173,87.46574652,7.05265167
se-5,33.47420482,27.16603213,86.93922132,6.862392471
se-6,33.69097766,27.18584915,86.43680577,6.691045989
se-7,33.89348531,27.19757278,85.95849987,6.538612227
se-8,34.08172778,27.20120303,85.50430362,6.405091183
se-9,34.25570507,27.19673989,85.07421701,6.290482858
se-10,34.41541718,27.18418337,84.66824006,6.194787252
se-11,34.56086411,27.16353347,84.28637275,6.118004364
se-12,34.69204585,27.13479018,83.92861509,6.060134195
se-13,34.80896242,27.0979535,83.59496708,6.021176745
se-14,34.9116138,27.05302344,83.28542871,6.001132013
se-15,35,27,83,6
se-16,35.07412102,26.93888317,82.73868093,6.017780706
se-17,35.13397686,26.86967296,82.50147151,6.05447413
se-18,35.17956751,26.79236936,82.28837174,6.110080273
se-19,35.21089299,26.70697238,82.09938162,6.184599135
se-20,35.22795328,26.61348201,81.93450115,6.278030715
se-21,35.2307484,26.51189826,81.79373032,6.390375014
se-22,35.21927833,26.40222113,81.67706915,6.521632032
se-23,35.19354308,26.28445061,81.58451762,6.671801768
se-24,35.15354264,26.1585867,81.51607574,6.840884223
se-25,35.09927703,26.02462941,81.47174351,7.028879397
se-26,35.03074623,25.88257874,81.45152092,7.235787289
se-27,34.94795026,25.73243468,81.45540799,7.4616079
se-28,34.8508891,25.57419724,81.4834047,7.70634123
se-29,34.73956276,25.40786641,81.53551106,7.969987278
se-30,34.61397124,25.2334422,81.61172707,8.252546045
oc-1,34.4829222,25.05694295,81.70028328,8.536415514
oc-2,34.35522329,24.884387,81.78941026,8.803993668
oc-3,34.23087452,24.71577434,81.87910799,9.055280507
oc-4,34.10987589,24.55110499,81.96937648,9.29027603
oc-5,33.9922274,24.39037894,82.06021573,9.508980239
oc-6,33.87792904,24.23359619,82.15162574,9.711393133
oc-7,33.76698082,24.08075675,82.24360651,9.897514712
oc-8,33.65938274,23.9318606,82.33615804,10.06734498
oc-9,33.55513479,23.78690775,82.42928033,10.22088392
oc-10,33.45423698,23.64589821,82.52297337,10.35813156
oc-11,33.35668931,23.50883197,82.61723718,10.47908788
oc-12,33.26249178,23.37570902,82.71207175,10.58375288
oc-13,33.17164438,23.24652938,82.80747707,10.67212657
oc-14,33.08414712,23.12129304,82.90345316,10.74420894
oc-15,33,23,83,10.8
oc-16,32.91920301,22.88265026,83.0971176,10.83949974
oc-17,32.84175617,22.76924382,83.19480597,10.86270817
oc-18,32.76765946,22.65978069,83.29306509,10.86962529
oc-19,32.69691288,22.55426085,83.39189497,10.86025108
oc-20,32.62951645,22.45268431,83.49129561,10.83458557
oc-21,32.56547015,22.35505108,83.59126701,10.79262874
oc-22,32.50477398,22.26136115,83.69180917,10.73438059
oc-23,32.44742796,22.17161451,83.79292209,10.65984113
oc-24,32.39343207,22.08581118,83.89460577,10.56901035
oc-25,32.34278632,22.00395115,83.9968602,10.46188826
oc-26,32.29549071,21.92603442,84.0996854,10.33847485
oc-27,32.25154523,21.85206099,84.20308136,10.19877013
oc-28,32.21094989,21.78203087,84.30704807,10.04277409
oc-29,32.17370469,21.71594404,84.41158555,9.87048674
oc-30,32.13980963,21.65380051,84.51669378,9.681908073
oc-31,32.10816885,21.59435597,84.62156523,9.480212878
no-1,32.0722073,21.53014447,84.72135464,9.284449869
no-2,32.03082913,21.4599217,84.81525447,9.097793835
no-3,31.98403433,21.38368766,84.90326471,8.920244774
no-4,31.9318229,21.30144235,84.98538536,8.751802687
no-5,31.87419485,21.21318577,85.06161643,8.592467574
no-6,31.81115018,21.11891791,85.13195792,8.442239435
no-7,31.74268888,21.01863879,85.19640982,8.301118269
no-8,31.66881095,20.91234839,85.25497214,8.169104077
no-9,31.5895164,20.80004672,85.30764487,8.046196859
no-10,31.50480523,20.68173378,85.35442802,7.932396615
no-11,31.41467743,20.55740957,85.39532159,7.827703344
no-12,31.31913301,20.42707408,85.43032557,7.732117048
no-13,31.21817197,20.29072733,85.45943996,7.645637725
no-14,31.1117943,20.1483693,85.48266477,7.568265375
no-15,31,20,85.5,7.5
no-16,30.88278908,19.84561943,85.51144564,7.440841598
no-17,30.76016154,19.68522759,85.5170017,7.39079017
no-18,30.63211737,19.51882447,85.51666817,7.349845716
no-19,30.49865657,19.34641009,85.51044506,7.318008236
no-20,30.35977915,19.16798443,85.49833236,7.295277729
no-21,30.21548511,18.9835475,85.48033008,7.281654196
no-22,30.06577445,18.7930993,85.45643822,7.277137637
no-23,29.91064715,18.59663983,85.42665677,7.281728052
no-24,29.75010324,18.39416909,85.39098574,7.295425441
no-25,29.5841427,18.18568707,85.34942512,7.318229803
no-26,29.41276553,17.97119378,85.30197491,7.350141139
no-27,29.23597174,17.75068922,85.24863513,7.391159449
no-28,29.05376133,17.52417339,85.18940576,7.441284732
no-29,28.86613429,17.29164629,85.1242868,7.500516989
no-30,28.67309062,17.05310792,85.05327826,7.568856221
de-1,28.48295282,16.81409748,84.97957391,7.638805619
de-2,28.30404337,16.58015416,84.90636753,7.702868377
de-3,28.13636226,16.35127798,84.83365913,7.761044495
de-4,27.9799095,16.12746893,84.76144869,7.813333973
de-5,27.83468508,15.90872701,84.68973623,7.859736811
de-6,27.70068901,15.69505222,84.61852174,7.90025301
de-7,27.57792129,15.48644456,84.54780522,7.934882568
de-8,27.46638192,15.28290403,84.47758667,7.963625487
de-9,27.36607089,15.08443064,84.40786609,7.986481766
de-10,27.27698821,14.89102437,84.33864348,8.003451405
de-11,27.19913387,14.70268523,84.26991884,8.014534404
de-12,27.13250788,14.51941323,84.20169217,8.019730763
de-13,27.07711024,14.34120836,84.13396348,8.019040482
de-14,27.03294095,14.16807061,84.06673275,8.012463561
de-15,27,14,84,8
de-16,26.9782874,13.83699652,83.93376522,7.981649799
de-17,26.96780315,13.67906017,83.86802841,7.957412959
de-18,26.96854724,13.52619095,83.80278957,7.927289478
de-19,26.98051968,13.37838886,83.7380487,7.891279358
de-20,27.00372046,13.2356539,83.6738058,7.849382598
de-21,27.0381496,13.09798607,83.61006087,7.801599197
de-22,27.08380708,12.96538538,83.54681391,7.747929157
de-23,27.1406929,12.83785181,83.48406493,7.688372477
de-24,27.20880708,12.71538538,83.42181391,7.622929157
de-25,27.2881496,12.59798607,83.36006087,7.551599197
de-26,27.37872046,12.4856539,83.2988058,7.474382598
de-27,27.48051968,12.37838886,83.2380487,7.391279358
de-28,27.59354724,12.27619095,83.17778957,7.302289478
de-29,27.71780315,12.17906017,83.11802841,7.207412959
de-30,27.8532874,12.08699652,83.05876522,7.106649799
de-31,28,12,83,7
